"Organisation H-ID"	"Organisation Record Title"	"Short name / acronym"	"Full name of organisation"	"Alternative name(s)"	"Organisation type"	subtype	Country(ies)	"Logo or representative image"	"Logo or representative image ID"	"Logo or representative image Name"	"Logo or representative image Path"	"Short description"	"Start date"	"Start date (temporal)"	"End date"	"End date (temporal)"	Thumbnail	"Thumbnail (temporal)"	Location	"Short description"	"subordinateTo (Organisation) H-ID"	"subordinateTo (Organisation) Record Title"	"Contact details or URL"	"Location (mappable point)"	note	"Related files"	"Related files ID"	"Related files Name"	"Related files Path"	"CartulR Entity ID"	mediumId	indexReference	IndexFontenay
87430	"Châlons-sur-Marne, église cathédrale, archidiaconé"		"Châlons-sur-Marne, église cathédrale, archidiaconé"	"Cathalaunensis ; Chalons"																												Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e180363	
87433	"Chambly, seigneurie"		"Chambly, seigneurie"	"Chambli ; Chambliaci"																												Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e180857	
87434	"Chambly, seigneurie"		"Chambly, seigneurie"	"Chambli ; Chambliaci"																												Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e180868	
87444	"Champs (Les)"		"Champs (Les)"																													Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e182192	
94956	"Abbais, homines et universitas"		"Abbais, homines et universitas"	Albas			France					"homines et universitas"												"POINT(1.23656 44.46833)"								Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e132079	
94957	"Abbeville, commune, mairie et échevinat, maîtres des métiers"		"Abbeville, commune, mairie et échevinat, maîtres des métiers"				France																	"POINT(1.83547 50.10521)"								Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e132169	
94958	"Almont, seigneurie"		"Almont , seigneurie"				France																	"POINT(1.47955 44.11463)"								Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e136708	
94981	"Bosmont, seigneurie"		"Bosmont, seigneurie"				France					sire																				Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e164914	
94998	"Bouhet, habitants"		"Bouhet, habitants"				France					habitants												"POINT(-0.85933 46.1653)"								Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e165429	
95001	"Bouhet, prieuré"		"Bouhet , prieuré"				France																	"POINT(-0.85933 46.1653)"								Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e165468	
95008	"Boulaere, seigneurie"		"Boulaere, seigneurie"				Belgium					sire												"POINT(3.88333 50.78333)"								Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e165600	
95009	"Boulbonne, abbaye de"		"Boulbonne, abbaye de"	Bollibonensis			France																	"POINT(1.53146 43.31386)"								Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e165649|Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e165661	
95013	"Ambert, prieuré de Célestins"		"Ambert, prieuré de Célestins"				France					"prieuré de Célestins"												"POINT(1.97802 48.0062)"								Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e137328	
95015	"Boulogne-sur-Mer, abbaye Notre-Dame"		"Boulogne-sur-Mer , abbaye Notre-Dame"	"Boulogne-sur-Mer, église Notre-Dame"			France																	"POINT(1.61392 50.72571)"								Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e165757	
95016	"Boulogne, comté"		"Boulogne, comté"				France																	"POINT(1.61392 50.72571)"								Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e165781|Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e165793	
95021	"Bourbon, seigneurie"		"Bourbon , seigneurie"				France																	"POINT(3.05652 46.58324)"								Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e165913	
95022	"Bourbon-Lancy, fief"		"Bourbon-Lancy, fief"				France																	"POINT(3.76953 46.62214)"								Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e166009	
95026	"Bourbonnais, seigneurie"		"Bourbonnais , seigneurie"				France																	"POINT(3 46.5)"								Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e166078	
95034	"Bourges, diocèse"		"Bourges, diocèse"				France					archevêque												"POINT(2.4 47.08333)"								Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e166311	
95036	"Bourges, église cathédrale, archidiaconé"		"Bourges , église cathédrale , archidiaconé"				France																	"POINT(2.4 47.08333)"								Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e166323|Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e166561	
95038	"Bourges, bailliage"		"Bourges, bailliage"	"Bituricensis ballivia"			France																	"POINT(2.4 47.08333)"								Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e166397|Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e160988|Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e166331|Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e166443	
95040	"Bourges, bailliage, commissaires royaux au fait des juifs"		"Bourges, bailliage, commissaires royaux au fait des juifs"				France																	"POINT(2.4 47.08333)"								Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e166428	
95042	"Bourges, bailliage, sergents"		"Bourges , bailliage, sergents"				France																	"POINT(2.4 47.08333)"								Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e166455	
95043	"Bourges, bailliage, surintendants des affaires juives"		"Bourges , bailliage, surintendants des affaires juives"				France																	"POINT(2.4 47.08333)"								Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e166467	
95049	"Bourges, couvent des Frères Mineurs"		"Bourges , couvent des Frères Mineurs"				France																	"POINT(2.4 47.08333)"								Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e166537	
95050	"Bourges, église cathédrale"		"Bourges , église cathédrale"				France																	"POINT(2.4 47.08333)"								Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e166549|Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e166579	
95053	"Bourges, église cathédrale, doyen et chapitre"		"Bourges , église cathédrale, doyen et chapitre"				France																	"POINT(2.4 47.08333)"								Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e166604	
95054	"Bourges, église de Saint-Outrille ou du château"		"Bourges , église de Saint-Outrille ou du château"				France																	"POINT(2.4 47.08333)"								Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e166616|Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e166513	
95055	"Bourges, Hôtel-Dieu"		"Bourges , Hôtel-Dieu"				France																	"POINT(2.4 47.08333)"								Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e166631	
