"Place H-ID"	"Place Record Title"	"Place name"	"Additional (equivalent) names"	"Name chosen"	"Place type"	Country	"Code insee"	Department	Arrondissement	Canton	Town	"Municipality (record pointer) (Place) H-ID"	"Municipality (record pointer) (Place) Record Title"	County	Province	"Location (mappable)"	"Locational certainty"	"Index Reference"	Note	"GeoNames ID"	"DicoTopo ID"	"WikiData ID"	indexReference	IndexFontenay
99931	"Pont-à-Bucy (Aisne, Crécy-sur-Serre)"	Pont-à-Bucy		Pont-à-Bucy		France	02559	Aisne		Crécy-sur-Serre						"POINT(3.4924511009174317 49.700461376146784)"		Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e337691	"Aisne, con Crécy-sur-Serre"		P91887862		Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e337691	
99932	"Pontailler-sur-Saône (Côte-d'Or, Dijon)"	Pontailler-sur-Saône		Pontailler-sur-Saône		France	21496	Côte-d'Or	Dijon							"POINT(5.41479 47.30455)"		Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e337706	"Côte-d'Or, ar. Dijon"	2986310			Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e337706	
99933	"Pont-Arcy (Aisne, Vailly)"	Pont-Arcy		Pont-Arcy		France	02612	Aisne		Vailly						"POINT(3.63059 49.39452)"		Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e337727	"Aisne, con Vailly"	2986304			Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e337727	
99935	"Pontarion (Creuse, Guéret)"	Pontarion		Pontarion		France	23155	Creuse	Guéret							"POINT(1.84928 45.99734)"		Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e337742	"Creuse, ar. Guéret"	2986303			Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e337742	
99936	"Pont-Audemer (Eure, Bernay)"	Pont-Audemer	"Ponte Audemali|Ponte Audomari"	Pont-Audemer		France	27467	Eure	Bernay							"POINT(0.51667 49.35)"		Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e337757	"Eure, ar. Bernay"	2986294			Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e337757|Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e338025	
99939	"Pont-aux-Moines (Le) (Loiret, Orléans)"	"Pont-aux-Moines (Le)"		Chécy		France	45089	Loiret		Orléans						"POINT(2.02304 47.89402)"		Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e337828	"Loiret, con Orléans, cne Chécy"	3025650			Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e337828	
99940	"Pont-de-l'Arche (Eure, Les Andelys)"	Pont-de-l'Arche		Pont-de-l'Arche		France	27469	Eure	"Les Andelys"							"POINT(1.15481 49.30324)"		Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e337843	"Eure, ar. Les Andelys"	2986249			Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e337843	
99942	"Pont-de-l'Arche, — mesurage des grains (Eure, Les Andelys)"	"Pont-de-l'Arche , — mesurage des grains"		Pont-de-l'Arche		France	27469	Eure	"Les Andelys"							"POINT(1.15481 49.30324)"		Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e337873		2986249			Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e337873	
99943	"Pont-de-l'Arche, — moulins royaux (Eure, Les Andelys)"	"Pont-de-l'Arche , — moulins royaux"		Pont-de-l'Arche		France	27469	Eure	"Les Andelys"							"POINT(1.15481 49.30324)"		Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e337885		2986249			Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e337885	
99944	"Pont-de-l'Arche, — porte de Léry (Eure, Les Andelys)"	"Pont-de-l'Arche , — porte de Léry"		Pont-de-l'Arche		France	27469	Eure	"Les Andelys"							"POINT(1.15481 49.30324)"		Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e337897		2986249			Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e337897	
99945	"Bazoches (Aisne, Braisne)"	Bazoches	Bazoches-sur-Vesles			France	02054	Aisne		Braisne						"POINT(3.61667 49.31667)"		Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e151554	"-sur-Vesle, Aisne, con Braisne"	3034424			Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e151554	
99949	"Pont-de-la-Roque (moulin du) (Manche, Saint-Malo-de-la-Lande)"	"Pont-de-la-Roque (moulin du)"		Heugueville		France	50243	Manche		Saint-Malo-de-la-Lande						"POINT(-1.52255 49.04198)"		Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e337983	"Manche, con Saint-Malo-de-la-Lande, cne Heugueville"	3013331			Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e337983	
99950	"Pont-du-Château (Puy-de-Dôme, Clermont-Ferrand)"	Pont-du-Château		Pont-du-Château		France	63284	Puy-de-Dôme	Clermont-Ferrand							"POINT(3.24839 45.7983)"		Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e337998	"Puy-de-Dôme, ar. Clermont-Ferrand"	2986219			Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e337998	
