"Person H-ID"	"Person Record Title"	"Family name"	"Given name(s)"	"Alternate name(s) / title(s)"	Gender	"Short description"	"link with organisation (Record relationship) H-ID"	"Relationship type"	"link with organisation (Record relationship) Record Title"	"link with organisation H-ID"	"Organisation Record Title"	"link with organisation Record Title"	"link with person (Record relationship) H-ID"	"Relationship type"	"link with person (Record relationship) Record Title"	"link with person H-ID"	"link with person Record Title"	"link_to_place (Record relationship) H-ID"	"Relationship type"	"link_to_place (Record relationship) Record Title"	"link_to_place H-ID"	"Place Record Title"	"link_to_place Record Title"	"link with subject (Record relationship) H-ID"	"Title for relationship"	"Short description"	"Relationship type"	"Interpretation / commentary >"	"Interpretation / commentary > Record Title"	"link with subject (Record relationship) Record Title"	"link with subject H-ID"	"Subject Record Title"	"link with subject Record Title"	"link with act (Record relationship) H-ID"	"Title for relationship"	"Short description"	"Relationship type"	"Interpretation / commentary >"	"Interpretation / commentary > Record Title"	"link with act (Record relationship) Record Title"	"link with act H-ID"	"link with act Record Title"	Note	"Index reference"	"CartulR Entity ID"	IndexFontenay	"date from"	"date from (temporal)"	"date to"	"date to (temporal)"
81742	"Aldric de Prinhaco"	"Aldric de Prinhaco"																326384	"est le surnom de"	"Prinhaco | est le surnom de - > Aldric de Prinhaco"																								Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e135504						
81743	Clémence	Clémence				"femme de Guillaume le Boiteux, bourgeoise royale de Paris"												328869	"est bourgeois royal / bourgeoise royale de"	"Clémence | est bourgeois royal / bourgeoise royale de - > Paris (Aude, Chalabre)"	99348	"Paris (Aude, Chalabre)"	"Paris (Aude, Chalabre)"																					Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e188952						
81744	Clémence	Clémence				"femme de Pierre le Pelletier"																																						Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e188973						
81745	"Clémence de Jagny"	"Clémence de Jagny"																104864	"a pour surnom"	"Clémence de Jagny | a pour surnom - > Jagny (Val-d'Oise, Luzarches)"	83561	"Jagny (Val-d'Oise, Luzarches)"	"Jagny (Val-d'Oise, Luzarches)"																					Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e188997						
81746	"Clémence de Rouen"	"Clémence de Rouen"				"femme de Colard le Baillif"												103133	"a pour surnom"	"Clémence de Rouen | a pour surnom - > Rouen (Seine-Maritime)"	100426	"Rouen (Seine-Maritime)"	"Rouen (Seine-Maritime)"																					Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e189012						
81747	"Clémence d'Oiselay"	"Clémence d'Oiselay"				"veuve d'Hugues de Cicon"	320898	"est sire / seigneur / dame de"	"Clémence d'Oiselay | est sire / seigneur / dame de - > Bourguignon-lès-Conflans, seigneurie"	95079	"Bourguignon-lès-Conflans, seigneurie"	"Bourguignon-lès-Conflans, seigneurie"						103015	"a pour surnom"	"Clémence d'Oiselay | a pour surnom - > Oiselay (Haute-Saône, Gy)"	99181	"Oiselay (Haute-Saône, Gy)"	"Oiselay (Haute-Saône, Gy)"																					Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e189027						
81748	Clemens	Clemens				signature																																					"Clément, chapelain et clerc de Pierre VI de Chambly"	Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e189042						
81749	"Clément IV"	"Clément IV"				pape																																						Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e189057						
81750	"Clément V"	"Clément V"				pape																																						Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e189072						
81751	Clément	Clément				"chapelain et clerc de Pierre VI de Chambly"																																						Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e189173						
81752	"Clément de Choisy-au-Bac"	"Clément de Choisy-au-Bac"																102634	"a pour surnom"	"Clément de Choisy-au-Bac | a pour surnom - > Choisy-au-Bac (Oise, Compiègne)"	95998	"Choisy-au-Bac (Oise, Compiègne)"	"Choisy-au-Bac (Oise, Compiègne)"																					Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e189184						
81753	Adam	Adam				"vicomte de Melun"	326180|329315|330353	"est vicomte / vicomtesse de|est vicomte / vicomtesse de|est vicomte / vicomtesse de"	"Adam | est vicomte / vicomtesse de - > Melun, vicomté|Adam | est vicomte / vicomtesse de - > Melun, vicomté|Adam | est vicomte / vicomtesse de - > Melun, vicomté"	98375|98375|98375	"Melun, vicomté|Melun, vicomté|Melun, vicomté"	"Melun, vicomté|Melun, vicomté|Melun, vicomté"																																Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e132552						
81754	"A l'Écureuil (Jean)"	"A l'Écureuil (Jean)"																																										Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e135519						
81755	"Clément de Fraissé"	"Clément de Fraissé"				"docteur ès lois"	319768	"est juge-mage de"	"Clément de Fraissé | est juge mage de - > Beaucaire et Nîmes, sénéchaussée"	100090	"Beaucaire et Nîmes, sénéchaussée"	"Beaucaire et Nîmes, sénéchaussée"						323055	"a pour surnom"	"Clément de Fraissé | a pour surnom - > Fraissé (Aude, Narbonne, Corbières (Les))"	82359	"Fraissé (Aude, Narbonne, Corbières (Les))"	"Fraissé (Aude, Narbonne, Corbières (Les))"																					Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e189202						
81756	"Clément de Fraissé"	"Clément de Fraissé"				"fils et héritier testamentaire du précédent"												323056	"a pour surnom"	"Clément de Fraissé | a pour surnom - > Fraissé (Aude, Narbonne, Corbières (Les))"	82359	"Fraissé (Aude, Narbonne, Corbières (Les))"	"Fraissé (Aude, Narbonne, Corbières (Les))"																					Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e189241						
81757	"Clément de La Mare"	"Clément de La Mare"				"prêtre, chapelain de l'oratoire du manoir de Blosseville"												102894|320670	"a pour surnom|est chapelain de"	"Clément de La Mare | a pour surnom - > Mare (La)|Clément de La Mare | est chapelain de - > Blosseville, oratoire ou chapelle (Seine-Maritime, Saint-Valéry-en-Caux)"	98224|102362	"Mare (La)|Blosseville, oratoire ou chapelle (Seine-Maritime, Saint-Valéry-en-Caux)"	"Mare (La)|Blosseville, oratoire ou chapelle (Seine-Maritime, Saint-Valéry-en-Caux)"																					Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e189256						
81758	"Clément d'Orly (le fils de)"	"Clément d'Orly (le fils de)"																103025	"a pour surnom"	"Clément d'Orly (le fils de) | a pour surnom - > Orly (Seine, Ivry-sur-Seine)"	99271	"Orly (Seine, Ivry-sur-Seine)"	"Orly (Seine, Ivry-sur-Seine)"																					Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e189271						
